id,category,subcategory,address,subdivision,modified,neighborhood,lot_size,acres,year_built,style,heating,sqft,bedrooms,full_baths,half_baths
06079918101200000,RP,Residential Property,1319 S CHURCH ST,BOZEMAN CREEK ANNEX,10/13/2020 11:35:49 AM,206.010.A,"107,767",,2002,08 - Conventional,2 - Hot Water/Water Radiant,2998,3,2,1
06079918101250000,RP,Residential Property,1315 S CHURCH AVE,BOZEMAN CREEK ANNEX,10/13/2020 11:27:03 AM,206.010.A,"61,420",,,,,,,,
06079918101300000,RP,Agricultural and Timber Properties,1301 S CHURCH ST,BOZEMAN CREEK ANNEX,10/13/2020 11:30:06 AM,206.010.A,,1,2014,08 - Conventional,2 - Hot Water/Water Radiant,406,0,1,0
06079918101350000,RP,Residential Property,1307 S CHURCH ST,BOZEMAN CREEK ANNEX,10/13/2020 11:22:55 AM,206.010.A,"29,795",,1957,11 - Log,2 - Hot Water/Water Radiant,1434,2,1,0
06079918101400000,RP,Commercial Property,1203 S CHURCH ST,,10/13/2020 11:29:07 AM,206.105,"187,308",,1968,,,,,,
06079918101450000,RP,Mixed Use - Res & Comm,1109 S CHURCH ST,,10/13/2020 11:34:03 AM,206.105,"43,560",,1981,10 - Old Style,5 - Forced Air,1436,4,1,0
06079918101500000,RP,Residential Property,1017 S CHURCH ST,,10/13/2020 11:26:35 AM,206.010.A,"101,930",,,,,,,,
06079918101550000,RP,Residential Property,1003 S CHURCH ST,,10/13/2020 11:26:13 AM,206.010.A,"54,014",,1966,10 - Old Style,1 - Floor/Wall/Space,1361,3,1,0
06079918101600000,RP,Commercial Property,ICE POND RD,,10/13/2020 11:32:12 AM,206.010.A,"181,210",,,,,,,,
06079918103010000,RP,Residential Property,SOURDOUGH RD,ELECTRIC HEIGHTS ADD,10/13/2020 11:30:21 AM,206.010.A,"334,628",,,,,,,,
06079918120050000,RP,Residential Property,1330 S CHURCH AVE,BOZEMAN CREEK ANNEX,10/13/2020 11:37:51 AM,206.010.A,"6,969",,1965,11 - Log,5 - Forced Air,1213,4,1,1
06079918120107000,RP,Condo/Townhouse Master,,ABELIN ESTATE CONDO,10/13/2020 11:36:41 AM,206.710.K,"21,780",,,,,,,,
06079918120150000,RP,Residential Property,1208 S CHURCH ST,BOZEMAN CREEK ANNEX,10/13/2020 11:32:41 AM,206.010.A,"35,284",,1995,11 - Log,5 - Forced Air,788,1,1,0
06079918120250000,RP,Residential Property,1008 S CHURCH AVE,BOZEMAN CREEK ANNEX,10/13/2020 11:31:59 AM,206.010.A,"21,780",,1948,08 - Conventional,5 - Forced Air,1980,3,2,0
06079918120300000,RP,Residential Property,S CHURCH ST,BOZEMAN CREEK ANNEX,10/13/2020 11:31:31 AM,206.010.A,"25,657",,,,,,,,
06079918120350000,RP,Residential Property,918 S CHURCH AVE,BOZEMAN CREEK ANNEX,10/13/2020 11:27:10 AM,206.010.A,"21,780",,1998,10 - Old Style,1 - Floor/Wall/Space,980,2,1,0
06079918120400000,RP,Residential Property,912 S CHURCH ST,BOZEMAN CREEK ANNEX,10/13/2020 11:36:10 AM,206.010.A,"4,356",,1970,10 - Old Style,5 - Forced Air,2298,3,2,0
06079918120450000,RP,Commercial Property,902 S CHURCH AVE,BOZEMAN CREEK ANNEX,10/13/2020 11:34:27 AM,206.105,"20,080",,1945,,,,,,
06079918131016500,RP,Residential Property,,MINOR SUB 068,10/13/2020 11:23:28 AM,206.010.A,"36,198",,,,,,,,
06079918140010000,RP,Commercial Property,1201 HIGHLAND BLVD,,10/13/2020 11:33:12 AM,206.101.A,"980,100",16.325,2001,,,,,,
06079918140036500,RP,Residential Property,,PROSPECT HILL ADD,10/13/2020 11:34:24 AM,206.010.A,"7,797",,,,,,,,
06079918141010000,RP,Residential Property,1309 KENYON DR,KNOLLS AT HILLCREST,10/13/2020 11:36:42 AM,206.010.E,"7,051",,2016,03 - Ranch,5 - Forced Air,1881,2,2,0
06079918141030000,RP,Residential Property,1319 KENYON DR,KNOLLS AT HILLCREST,10/13/2020 11:33:13 AM,206.010.E,"6,545",,2017,03 - Ranch,5 - Forced Air,1917,2,2,0
06079918141050000,RP,Residential Property,1331 KENYON DR,KNOLLS AT HILLCREST,10/13/2020 11:29:30 AM,206.010.E,"6,511",,2015,08 - Conventional,2 - Hot Water/Water Radiant,3036,4,2,1
06079918141070000,RP,Residential Property,1345 KENYON DR,KNOLLS AT HILLCREST,10/13/2020 11:30:41 AM,206.010.E,"6,545",,2019,03 - Ranch,5 - Forced Air,2122,2,2,0
06079918141090000,RP,Residential Property,1357 KENYON DR,KNOLLS AT HILLCREST,10/13/2020 11:29:05 AM,206.010.E,"6,260",,2015,03 - Ranch,5 - Forced Air,1528,2,2,0
06079918141110000,RP,Residential Property,1369 KENYON DR,KNOLLS AT HILLCREST,10/13/2020 11:33:24 AM,206.010.E,"6,000",,2013,08 - Conventional,5 - Forced Air,2424,3,3,1
06079918141130000,RP,Residential Property,1381 KENYON DR,KNOLLS AT HILLCREST,10/13/2020 11:40:26 AM,206.010.E,"6,000",,2014,08 - Conventional,5 - Forced Air,2300,2,2,0
